x_flip,y_flip,z_flip,x_mirr,y_mirr,z_mirr
262752,300984,400000,220619,325695,391224
262752,300984,420000,222697,325695,411224
262752,300984,440000,224083,325002,430762
262752,300984,460000,225006,324771,451455
262752,300984,480000,227085,326387,473303
262752,300984,500000,229163,327773,493072
262752,320984,340000,215076,342461,335381
262752,320984,360000,214152,342461,354688
262752,320984,380000,214383,344771,373765
262752,320984,400000,214383,346387,392841
262752,320984,420000,216462,346156,412610
262752,320984,440000,217154,344540,430993
262752,320984,460000,219002,344078,450762
262752,320984,480000,220388,345464,472148
262752,340984,400000,210457,366387,394688
262752,340984,420000,212074,366156,413303
262752,340984,440000,212074,364771,431686
242752,60984,60000,239878,88928,47991
242752,60984,80000,243804,89390,67991
242752,60984,140000,251887,93777,126375
242752,60984,160000,254428,95625,146605
242752,80984,60000,235721,105695,47991
242752,80984,80000,237107,105233,67991
242752,80984,100000,237569,108235,85682
242752,80984,120000,240109,110082,106144
242752,80984,140000,245421,112161,125913
242752,80984,160000,248885,114008,145451
242752,80984,180000,250733,115163,167298
242752,100984,60000,230641,123154,46836
242752,100984,80000,230410,124078,66144
242752,100984,100000,229255,126849,87067
242752,100984,120000,231795,128466,107298
242752,100984,140000,243112,132623,122679
242752,100984,160000,242881,132161,145682
242752,100984,180000,244035,133085,167529
242752,100984,200000,247499,135163,188915
242752,100984,220000,252118,135625,210070
242752,120984,60000,222327,142692,46836
242752,120984,80000,222558,146387,67298
242752,120984,100000,222096,147542,88684
242752,120984,120000,226715,147542,106605
242752,120984,140000,237107,150775,121987
242752,120984,160000,234798,148928,147991
242752,120984,180000,237338,150544,170070
242752,120984,200000,242188,152392,190301
242752,120984,220000,247268,153316,210993
242752,120984,240000,250733,152623,230993
242752,120984,260000,253042,152392,250993
242752,120984,280000,254659,152623,270993
242752,140984,60000,211242,162000,49608
242752,140984,80000,212166,165926,69608
242752,140984,100000,213782,165695,90070
242752,140984,120000,217477,164771,110070
242752,140984,140000,223251,165926,129377
242752,140984,160000,227869,166618,150993
242752,140984,180000,232257,168928,172148
242752,140984,200000,236645,169852,192148
242752,140984,220000,241033,170082,211917
242752,140984,240000,244497,170082,231455
242752,140984,260000,246807,168466,251917
242752,140984,280000,248192,168235,272148
242752,140984,300000,249809,168697,292841
242752,140984,320000,250733,170544,312841
242752,140984,340000,251887,172392,333072
242752,140984,360000,252811,174701,352841
242752,140984,380000,255351,173547,374457
242752,160984,60000,201311,180152,53072
242752,160984,80000,203621,182692,72841
242752,160984,100000,206161,183616,92841
242752,160984,120000,209856,182923,112379
242752,160984,140000,215861,182000,132379
242752,160984,160000,222096,183385,152610
242752,160984,180000,226484,185695,173534
242752,160984,200000,230641,186849,193534
242752,160984,220000,234105,186849,212379
242752,160984,240000,236876,185695,233303
242752,160984,260000,239186,184078,253765
242752,160984,280000,241033,184309,273765
242752,160984,300000,242881,184540,294457
242752,160984,320000,244497,186387,314688
242752,160984,340000,245883,188004,334226
242752,160984,360000,247268,189621,354457
242752,160984,380000,249347,189621,374226
242752,160984,400000,251656,187773,393765
242752,180984,60000,190688,196457,55612
242752,180984,80000,193690,198074,75843
242752,180984,100000,196462,198997,95843
242752,180984,120000,200619,199690,114919
242752,180984,140000,207316,198766,133534
242752,180984,160000,213782,200152,152841
242752,180984,180000,218863,202461,173996
242752,180984,200000,223482,202923,193996
242752,180984,220000,226946,202230,213996
242752,180984,240000,229486,200845,235381
242752,180984,260000,231565,199921,256074
242752,180984,280000,233412,200152,276074
242752,180984,300000,236183,200152,295381
242752,180984,320000,238724,202000,315150
242752,180984,340000,240571,203385,335150
242752,180984,360000,241957,204540,355612
242752,180984,380000,244266,204771,375150
242752,180984,400000,246114,203847,393534
242752,180984,420000,247499,203154,413303
242752,200984,60000,180065,211838,57460
242752,200984,80000,182374,213455,77229
242752,200984,100000,185146,215071,96767
242752,200984,120000,190226,216457,116767
242752,200984,140000,196462,216226,134688
242752,200984,160000,203852,217843,153996
242752,200984,180000,210780,219690,174919
242752,200984,200000,216322,218535,196074
242752,200984,220000,220018,217612,216074
242752,200984,240000,222789,216457,237922
242752,200984,260000,226484,216226,259307
242752,200984,280000,228100,216919,277922
242752,200984,300000,230410,217612,296998
242752,200984,320000,232488,219228,315381
242752,200984,340000,234798,219921,335612
242752,200984,360000,236645,219690,356305
242752,200984,380000,238724,219228,376305
242752,200984,400000,240340,219690,393765
242752,200984,420000,241033,219921,412841
242752,200984,440000,242188,220614,433072
242752,200984,460000,241033,221307,453534
242752,220984,220000,214475,235533,218614
242752,220984,240000,217939,235071,240000
242752,220984,260000,221634,234379,260924
242752,220984,280000,223251,235302,279538
242752,220984,300000,223713,236457,298383
242752,220984,320000,225560,237381,316536
242752,220984,340000,228331,236688,335843
242752,220984,360000,231103,235533,355612
242752,220984,380000,232950,234609,376074
242752,220984,400000,234336,236688,393996
242752,220984,420000,235029,238535,412610
242752,220984,440000,236645,238535,432610
242752,220984,460000,235490,239459,454226
242752,220984,480000,234336,240152,474688
242752,240984,200000,206392,257150,199538
242752,240984,220000,211011,257612,220000
242752,240984,240000,214244,256688,241848
242752,240984,260000,216553,255071,261617
242752,240984,280000,217015,255302,280462
242752,240984,300000,215861,255533,299769
242752,240984,320000,217939,255302,317460
242752,240984,340000,221403,253917,336074
242752,240984,360000,224636,253224,353996
242752,240984,380000,226484,253686,373996
242752,240984,400000,227177,255302,393072
242752,240984,420000,228331,257381,411917
242752,240984,440000,229948,257612,432148
242752,240984,460000,229717,258535,453072
242752,240984,480000,228331,259459,473996
242752,240984,500000,228793,259459,493765
242752,260984,200000,202466,278305,201155
242752,260984,220000,207085,279228,221155
242752,260984,240000,210549,278997,242078
242752,260984,260000,211935,277150,262309
242752,260984,280000,211704,276226,281848
242752,260984,300000,211011,275302,300693
242752,260984,320000,212627,273686,318383
242752,260984,340000,214937,272762,336074
242752,260984,360000,217015,273455,354226
242752,260984,380000,218632,273686,373534
242752,260984,400000,219787,274379,392610
242752,260984,420000,220941,276457,412148
242752,260984,440000,222789,277150,432379
242752,260984,460000,223482,277612,452148
242752,260984,480000,223713,278074,472148
242752,260984,500000,223713,278074,493072
242752,280984,200000,197385,298305,201386
242752,280984,220000,202466,298997,222078
242752,280984,240000,205930,299459,242078
242752,280984,260000,206161,298997,261848
242752,280984,280000,205699,296919,281848
242752,280984,300000,205930,295995,300693
242752,280984,320000,207778,294148,317922
242752,280984,340000,209163,293455,337229
242752,280984,360000,210780,293686,355381
242752,280984,380000,211011,292993,374226
242752,280984,400000,211242,295071,393534
242752,280984,420000,213320,296226,413534
242752,280984,440000,214706,296457,433303
242752,280984,460000,215861,296688,453303
242752,280984,480000,216553,297612,473765
242752,280984,500000,217708,297612,493765
242752,280984,520000,218863,298305,513765
242752,300984,240000,199464,318997,241617
242752,300984,260000,200388,318766,261155
242752,300984,280000,199926,317612,281386
242752,300984,300000,200157,316226,299538
242752,300984,320000,201542,314609,316998
242752,300984,340000,202697,314148,336767
242752,300984,360000,203390,312762,355843
242752,300984,380000,202235,313455,373996
242752,300984,400000,202928,315533,394457
242752,300984,420000,205237,315995,415150
242752,300984,440000,207085,315764,434688
242752,300984,460000,207778,315764,455150
242752,300984,480000,208932,316457,475612
242752,300984,500000,211011,317150,495612
242752,320984,360000,195307,332531,356536
242752,320984,380000,195307,333917,375381
242752,320984,400000,195769,335302,395150
242752,320984,420000,198078,335071,416305
